City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
mareeba,AU,1643913064,-17.0,145.4333,72.48,96,100,7.0
faanui,PF,1643913064,-16.4833,-151.75,80.04,77,100,18.41
kavieng,PG,1643913065,-2.5744,150.7967,80.67,79,100,7.83
delta,NG,1643913066,5.5,6.0,83.88,59,100,7.47
cairns,AU,1643913005,-16.9167,145.7667,77.11,92,75,5.75
cidreira,BR,1643913067,-30.1811,-50.2056,80.4,75,66,17.56
kisangani,CD,1643913067,0.5167,25.2,78.69,64,99,4.83
paamiut,GL,1643913068,61.994,-49.6678,21.74,93,100,14.14
zalantun,CN,1643913069,48.0,122.7167,-8.43,85,9,7.67
sosua,DO,1643913069,19.7667,-70.5167,85.98,88,100,11.5
mabaruma,GY,1643913069,8.2,-59.7833,81.09,72,28,7.11
sechura,PE,1643913070,-5.5569,-80.8222,83.21,50,50,16.78
mossendjo,CG,1643913071,-2.9506,12.7261,69.49,97,81,1.19
diffa,NE,1643913072,13.3154,12.6113,67.1,15,4,8.16
bozova,TR,1643913072,37.3625,38.5267,45.52,88,99,12.33
srandakan,ID,1643913073,-7.9386,110.2506,64.72,85,97,3.71
marabba,SD,1643913073,12.35,32.1833,84.06,15,100,11.3
